Empresa,Cargo,Localidade,Data
GLOBAL HITSS,12851-Pessoa Administradora de Dados,Brasília - DF,Publicada em: 18/07/2023
Talentos Hapvida,Oportunidade Interna - Analista de Dados Pl,Fortaleza - CE,Publicada em: 18/07/2023
Hapvida NotreDame Intermédica,Analista de Dados Pl,Fortaleza - CE,Publicada em: 18/07/2023
PagBank,Analista de Cientista de Dados Sr.,Sao Paulo - SP,Publicada em: 18/07/2023
CVC Corp,PESSOA COORDENADORA DE DADOS,Santo André - SP,Publicada em: 17/07/2023
Recrutamento para área de tecnologia com Fit Cultural e Aderência Técnica.,Gerente de Dados,São Paulo - SP,Publicada em: 17/07/2023
Visagio,Visagio Talentos - Estágio: Tecnologia | Automação e Dados Recife,Recife - PE,Publicada em: 17/07/2023
Visagio,Visagio Talentos - Estágio: Tecnologia | Automação e Dados Fortaleza,Fortaleza - CE,Publicada em: 17/07/2023
Visagio,Visagio Talentos - Estágio: Tecnologia | Automação e Dados SP,São Paulo - SP,Publicada em: 17/07/2023
The Bridge Vagas,Analista de Dados SR - Híbrido (São Paulo/SP),São Paulo - SP,Publicada em: 17/07/2023
Visagio,Visagio Talentos - Estágio: Tecnologia | Automação e Dados RJ,Rio de Jan... - RJ,Publicada em: 17/07/2023
GLOBAL HITSS,12853-Pessoa Administradora de Banco de Dados,Brasília - DF,Publicada em: 17/07/2023
Olist,Analista de Negócios e Dados Pleno,São Paulo - SP,Publicada em: 17/07/2023
GLOBAL HITSS,13264-Pessoa Administradora de Banco de Dados,Brasília - DF,Publicada em: 17/07/2023
GLOBAL HITSS,13268-Pessoa Administradora de Banco de Dados,Brasília - DF,Publicada em: 17/07/2023
CantuStore,Engenheiro de Dados PL,Itajaí - SC,Publicada em: 17/07/2023
Vem ser Tahto,ANALISTA SENIOR DE DADOS E INDICADORES DA QUALIDADE - GOIÂNIA/GO | STAFF,Goiânia - GO,Publicada em: 14/07/2023
GnTech,Analista de Dados,Florianópolis - SC,Publicada em: 14/07/2023
Afya,PEBMED | Analista de Dados Júnior (Vaga Exclusiva para Profissionais com Deficiência),Rio de Jan... - RJ,Publicada em: 14/07/2023
Oportunidades T-Systems,ANALISTA BANCO DE DADOS - ORACLE,Sao Bernar... - SP,Publicada em: 14/07/2023
Vivo Digital,Administrador de Banco De Dados Senior,São Paulo - SP,Publicada em: 14/07/2023
Wake,Especialista em Banco de Dados (DBA) - Modelo de Trabalho Híbrido,Não informado,Publicada em: 14/07/2023
wemobi,Estágio em Gerenciamento de Dados Comerciais,Barueri - SP,Publicada em: 14/07/2023
Ambipar Response ES S/A,AMBIPAR RESPONSE CONTROL - Analista de Dados - Homeoffice,Vitória - ES,Publicada em: 14/07/2023
Stormx,Pessoa Engenheira de Dados,São Paulo - SP,Publicada em: 14/07/2023
Cielo,Analista Sênior em Governança de Dados,Barueri - SP,Publicada em: 14/07/2023
GLOBAL HITSS,13259-Pessoa Administradora de Dados,Brasília - DF,Publicada em: 13/07/2023
GLOBAL HITSS,13260-Pessoa Administradora de Dados,Brasília - DF,Publicada em: 13/07/2023
Grupo Nós,Analista de Dados Pleno,São Paulo - SP,Publicada em: 13/07/2023
Raízen,Cientista de Dados- Combustíveis,São Paulo - SP,Publicada em: 13/07/2023
Addebirare,Analista de Dados | Planejamento Comercial,São Paulo - SP,Publicada em: 13/07/2023
Barcelos,AUXILIAR DE PROCESSAMENTO E DADOS,São João d... - RJ,Publicada em: 12/07/2023
Grupo Boticário,Analista de Dados de Marketing Digital II,São Paulo - SP,Publicada em: 12/07/2023
Join Tecnologia & Design,Analista de Dados (Python),Brasília - DF,Publicada em: 12/07/2023
Zallpy Digital,Analista de Dados/BI JÚNIOR - Híbrido (POA ou RJ),Porto Alegre - RS,Publicada em: 12/07/2023
Leega Consultoria,Engenheiro de Dados GCP - Sênior,São Paulo - SP,Publicada em: 12/07/2023
Seja Every segurança da informação cybersecurity Every #SerFeliz LGPD GRC gerenciamento de risco inovação Every TI VempraEvery Vem pra Every,Analista Júnior de Privacidade de Dados,Brasília - DF,Publicada em: 12/07/2023
Grupo Boticário,Especialista de Dados I (Trade Marketing) - Vaga Afirmativa para Pessoas Negras (pretas e pardas),Sao Jose d... - PR,Publicada em: 11/07/2023
GT Group,Estágio em Análise de Dados,Florianópolis - SC,Publicada em: 11/07/2023
Stefanini Group,ADMINISTRADOR BANCO DADOS PL,Brasãƒâlia - DF,Publicada em: 11/07/2023
Bip Brasil,Pessoa Especialista em Ciência de Dados,São Paulo - SP,Publicada em: 11/07/2023
Bip Brasil,Pessoa Cientista de Dados Sênior - Validação de Modelos,São Paulo - SP,Publicada em: 11/07/2023
Trabalhe na Mills,Especialista de Dados,São Paulo - SP,Publicada em: 11/07/2023
Grendene,Analista de Dados I,Farroupilha - RS,Publicada em: 11/07/2023
Pif Paf Alimentos Estágio,Estagiário(a) de Dados,Belo Horiz... - MG,Publicada em: 11/07/2023
IPNET Growth Partner,Engenheiro de Dados Sênior,Rio de Jan... - RJ,Publicada em: 10/07/2023
NAVA | Technology for Business,Pessoa Engenheira de Dados (Scala),São Paulo - SP,Publicada em: 10/07/2023
Barcelos,Assistente de Inteligência de dados,Campos dos... - RJ,Publicada em: 10/07/2023
Foresea,Analista de Dados I | Data Analyst I,Macaé - RJ,Publicada em: 09/07/2023
Getnet Brasil,Pessoa Arquiteta de Dados,São Paulo - SP,Publicada em: 07/07/2023
Getnet Brasil,Pessoa Engenheira de Dados PL,São Paulo - SP,Publicada em: 07/07/2023
Globo,Analista de Banco de Dados | DBDevOps,Rio de Jan... - RJ,Publicada em: 07/07/2023
Ajinomoto do Brasil,Analista de Dados & Inteligência comercial,São Paulo - SP,Publicada em: 07/07/2023
VIACERTA Banking,Cientista de Dados Sênior,Santo Cristo - RS,Publicada em: 07/07/2023
Barcelos,OPERADOR DE PROCESSAMENTOS DE DADOS - CAMPOS DOS GOYTACAZES/RJ,Campos dos... - RJ,Publicada em: 06/07/2023
GLOBAL HITSS,11619-Analista de Dados (BI),Campinas - SP,Publicada em: 06/07/2023
Ambev Tech,Engenharia de Dados - Financeiro (Anaplan),Não informado,Publicada em: 06/07/2023
GOVERNANÇABRASIL - GOVBR,Analista de Dados Jr,Blumenau - SC,Publicada em: 06/07/2023
ORIZON VR,Analista de Dados,São Paulo - SP,Publicada em: 06/07/2023
Algar Telecom,Pessoa Analista de Segurança da Informação II (Aplicações e Dados),Uberlandia - MG,Publicada em: 06/07/2023
JBS,Analista de BI/Dados – Sênior/Especialista,São Paulo - SP,Publicada em: 06/07/2023
Unicred Central Conexão,Cientista de Dados | Florianópolis,Florianópolis - SC,Publicada em: 06/07/2023
Porto,Cientista de Dados Júnior – Pesquisa Operacional,São Paulo - SP,Publicada em: 05/07/2023
Energisa TECH,ENGENHEIRO DADOS I,Rio de Jan... - RJ,Publicada em: 05/07/2023
Claranet Brasil,Administrador (a) de Banco de Dados Oracle Sr.,Barueri - SP,Publicada em: 05/07/2023
J&T Express Brasil,Analista de dados,Florianópolis - SC,Publicada em: 05/07/2023
A3Data,Pessoa Cientista de Dados Sênior (Híbrido RMBH),Belo Horiz... - MG,Publicada em: 04/07/2023
GLOBAL HITSS,13379-Cientista de Dados,Brasília - DF,Publicada em: 04/07/2023
Seg Imob Seguros Imobiliários,Administrador de Banco de Dados,Uberlândia - MG,Publicada em: 04/07/2023
Stefanini Group,ADMINISTRADOR BANCO DADOS SR,Rio de Jan... - RJ,Publicada em: 04/07/2023
GLOBAL HITSS,12455-Cientista de Dados,São Paulo - SP,Publicada em: 04/07/2023
HS FINANCEIRA S/A - CFI,Analista de Dados JR - HS Financeira,Dois Irmãos - RS,Publicada em: 04/07/2023
Vem ser Tahto,ESPECIALISTA EM ENGENHARIA DE DADOS - GOIÂNIA/GO | STAFF,Goiânia - GO,Publicada em: 04/07/2023
Unidades V4 Company,Analista de Dados - RPZ & Co (Presencial),São José d... - SP,Publicada em: 03/07/2023
Stefanini Group,Administrador de Dados,Não informado,Publicada em: 03/07/2023
Minsait an Indra Company,Engenheiro de Dados Sênior,Goiania - GO,Publicada em: 03/07/2023
Núclea,Assistente de Análise de Dados - Vaga PCD,São Paulo - SP,Publicada em: 30/06/2023
Contabilizei,Analista de Dados Pleno,Não informado,Publicada em: 30/06/2023
Porto,Analista de Inteligência de Dados Pleno,São Paulo - SP,Publicada em: 30/06/2023
Cogna Educação,ENGENHEIRO DADOS IV,São Paulo - SP,Publicada em: 29/06/2023
Saber Educação,ANALISTA DE DADOS III,São Paulo - SP,Publicada em: 29/06/2023
Núclea,Assistente Cientista de Dados - Vaga PCD,São Paulo - SP,Publicada em: 29/06/2023
NAVA | Technology for Business,PESSOA ANALISTA DE DADOS SR - Riscos/Inteligência,São Paulo - SP,Publicada em: 28/06/2023
Cielo,Analista de Dados Sr,Barueri - SP,Publicada em: 28/06/2023
REDE CACIQUE,FRENTISTA - Baixa Grande do Ribeiro/PI (BANCO DE DADOS),Baixa Gran... - PI,Publicada em: 28/06/2023
Samsung SDS Latin America,Cientista de Dados,São Paulo - SP,Publicada em: 27/06/2023
Seja Every segurança da informação cybersecurity Every #SerFeliz LGPD GRC gerenciamento de risco inovação Every TI VempraEvery Vem pra Every,Analista Sênior de Privacidade de Dados,Brasília - DF,Publicada em: 27/06/2023
Seja Every segurança da informação cybersecurity Every #SerFeliz LGPD GRC gerenciamento de risco inovação Every TI VempraEvery Vem pra Every,Analista Pleno de Privacidade de Dados,Brasília - DF,Publicada em: 27/06/2023
Instituto de Pesquisas ELDORADO,Estágio para Analista de Dados,Manaus - AM,Publicada em: 26/06/2023
CONEXA,Cientista de Dados Sênior,Rio de Jan... - RJ,Publicada em: 26/06/2023
Benner,Analista de Banco de Dados PL,Maringá - PR,Publicada em: 26/06/2023
Brasilprev,BANCO DE TALENTOS - Tecnologia e Dados,São Paulo - SP,Publicada em: 26/06/2023
Agrofel Grãos e Insumos,Banco de dados | Gerente de Unidade,Não informado,Publicada em: 24/06/2023
Agrofel Grãos e Insumos,Banco de Dados | Assistente Administrativo e Estoque,Não informado,Publicada em: 24/06/2023
Agrofel Grãos e Insumos,Banco de Dados | Consultor Comercial,Não informado,Publicada em: 24/06/2023
Faça parte do time Mercantil,Analista de Dados de Controladoria Pleno,Belo Horiz... - MG,Publicada em: 23/06/2023
B. Braun Group,Especialista de Inteligência de Dados,Rio de Jan... - RJ,Publicada em: 23/06/2023
Oficial Atakarejo,COORDENADOR DE INTELIGENCIA DE DADOS,Salvador - BA,Publicada em: 23/06/2023
Agrofel Grãos e Insumos,Banco de Dados | Coordenador Administrativo,Não informado,Publicada em: 22/06/2023
Agrofel Grãos e Insumos,Banco de dados | Coordenador Comercial,Não informado,Publicada em: 22/06/2023
Opice Blum Advogados Associados,Advogado(a) Sênior | Proteção de Dados,São Paulo - SP,Publicada em: 22/06/2023
YDUQS,PESSOA ANALISTA EM GESTÃO DE SERVIÇOS PLENA (DADOS),Rio de Jan... - RJ,Publicada em: 22/06/2023
Grupo Boticário,Especialista em Arquitetura de Dados II (Produtos Digitais),Não informado,Publicada em: 22/06/2023
Embraer,Cientista de Dados JR/PL,São José d... - SP,Publicada em: 22/06/2023
OMNI Brasil,Estagiário de Dados,São Paulo - SP,Publicada em: 20/06/2023
Ambipar Response ES S/A,AMBIPAR RESPONSE CONTROL - Digitador de Dados,Vitória - ES,Publicada em: 20/06/2023
Riachuelo,Administrador de Banco de Dados Sênior,São Paulo - SP,Publicada em: 20/06/2023
Hapvida NotreDame Intermédica,Estagiário de Direito (Privacidade e Proteção de Dados),Fortaleza - CE,Publicada em: 20/06/2023
Grupo Refriko,Analista de Dados,Cambé - PR,Publicada em: 20/06/2023
Confidencial079921,Analista de Sistemas Sênior (Dados),Rio de Jan... - RJ,Publicada em: 20/06/2023
Stefanini Group,ADMINISTRADOR DE BANCO DE DADOS SÊNIOR,Rio de Jan... - RJ,Publicada em: 19/06/2023
Light,Técnico Jr (Análise de Dados),Nova Iguaçu - RJ,Publicada em: 19/06/2023
Datum TI,Pessoa Engenheira de Dados AWS Pleno,São Paulo - SP,Publicada em: 19/06/2023
SBT,Engenheiro de Dados Sênior,Osasco - SP,Publicada em: 19/06/2023
Itaú Unibanco,Analista Sênior de Business Intelligence (BI) e Dados - CONSÓRCIO,Sao Paulo - SP,Publicada em: 16/06/2023
Qexpert,Engenheiro de Dados - DataOps - Sênior,São Paulo - SP,Publicada em: 16/06/2023
Cadastra,Engenheiro de Dados - DataOps - Sênior,São Paulo - SP,Publicada em: 15/06/2023
NAVA | Technology for Business,PESSOA ENGENHEIRA DE DADOS,São Paulo - SP,Publicada em: 15/06/2023
Superlógica Tecnologias,Pessoa Analista de Marketing Sênior - Foco em Dados,Campinas - SP,Publicada em: 15/06/2023
200DEV,Engenheiro (a) de Dados Sênior,São Paulo - SP,Publicada em: 15/06/2023
Porto,Analista de Engenharia de Dados Sênior,São Paulo - SP,Publicada em: 14/06/2023
J&T Express Brasil,Analista de dados (BI) Sr.,São Paulo - SP,Publicada em: 14/06/2023
Webmotors,Pessoa Engenheira de Dados (Sênior),São Paulo - SP,Publicada em: 14/06/2023
Grupo L'Occitane,Analista de Integração e Engenharia de Dados,São Paulo - SP,Publicada em: 12/06/2023
Somos Educação,SOMOS - ANALISTA DADOS II (ESTATÍSTICO),São Paulo - SP,Publicada em: 09/06/2023
Franq,Analista de Dados Pleno,Florianópolis - SC,Publicada em: 09/06/2023
Grupo SBF,Pessoa Arquiteta de Dados,Não informado,Publicada em: 09/06/2023
